Numéro ED	Idref	Libellé ED	id_ed
551	161142141	École doctorale Mathématiques, Informatique, Physique Théorique et Ingénierie des Systèmes	Mpudz
552	161142001	École doctorale Énergie - Matériaux - Sciences de la Terre et de l'Univers	NTZhw
554	161796869	École doctorale Environnements - Santé	ElyFU
555	15231086X	École doctorale Sciences Humaines et sociales	44G6m
556	174625480	École doctorale Homme, Sociétés, Risques, Territoire	5QEaX
565	034732101	École doctorale Droit de la Sorbonne	aXJ7L
568	188535489	École doctorale Signalisations et Réseaux Intégratifs en Biologie	CGttG
569	188543589	École doctorale Innovation thérapeutique : du fondamental à l'appliqué	jx8ET
572	188543899	École doctorale Ondes et matière	etSIi
590	198190840	École doctorale Mathématiques, Information, Ingénierie des Systèmes	L20t5
592	200691252	École doctorale Lettres, Communication, Langues, Arts	sY7f3
593	200691392	École doctorale Droit, Gestion, sciences Économiques et Politique	41pAm
596	204761115	École doctorale Matière, Molécules, Matériaux et Géosciences	77947
606	230755623	École doctorale Chimie - Mécanique - Matériaux - Physique	UkNR2
607	231496869	École doctorale Sciences et Ingénierie des Ressources Naturelles	vi9w2
608	231495471	École doctorale Sciences et Ingénierie des Molécules, des Produits, des Procédés et de l'Énergie	TyNjM
621	232957029	École doctorale Ingénierie des Systèmes, Matériaux, Mécanique, Énergétique	B2549
625	238103862	École doctorale Mondes Anglophones, Germanophones, Indiens, Iraniens et Études Européennes	JiOMD
627	243007167	École doctorale Éducation, Didactiques, Cognition	dE3nH
630	24373400X	École doctorale Droit, Economie et Management	78n8c
632	25860221X	École doctorale Science de l’ingénierie et des systèmes	1jT2e
634	258545747	École doctorale Sciences, Ingénierie, Environnement	TOc8f
637	264825152	École doctorale Sciences de la vie et de la santé	
640	268272913	École doctorale Sciences économiques et sciences de gestion - Pays de la Loire	
651	264378148	École doctorale Mathématiques, Informatique, Matériaux, Mécanique, Énergétique	
652	264259947	École doctorale Biologie, Chimie, Santé	
653	264261380	École doctorale Sciences et Ingénierie	
6	11444210X	École doctorale Droit privé	UMnW1
22	138018014	École doctorale Mondes antiques et médiévaux	fqCbl
47	149120699	École doctorale Physique de Grenoble	8kNpd
50	149284896	École doctorale Langues, littératures et sciences humaines	8THzQ
58	188801790	École doctorale Langues, littératures, cultures, civilisations	I9ATR
98	175264651	École doctorale Droit-Normandie	9fYyW
122	103564772	École doctorale Europe latine - Amérique latine	z9lZY
131	165115467	École doctorale Langue, littérature, image, civilisations et sciences humaines (domaines francophone et anglophone et d'Asie Orientale)	a47aW
138	148943268	École doctorale Lettres, langues, spectacles	y9O3k
160	150103603	École doctorale Électronique, électrotechnique, automatique	EgfMQ
188	118096087	École doctorale Histoire moderne et contemporaine	RSZ7F
205	147171318	École doctorale Interdisciplinaire Sciences-Santé	69W38
206	149115261	École doctorale de Chimie de l'université de Lyon	m0UhD
211	15673009X	École doctorale Sciences exactes et leurs applications	1G1iC
222	156504081	École doctorale Sciences chimiques	AdU8Q
270	101516304	École doctorale Théologie et sciences religieuses	BRKC1
286	167023047	École doctorale de l'Ecole des Hautes Etudes en Sciences Sociales	2S146
327	147991455	École doctorale Temps, espaces, sociétés, cultures	IjgiJ
328	154887528	École doctorale Arts, lettres, langues, philosophie et communication	xLxMh
340	149627688	École doctorale Biologie moléculaire, intégrative et cellulaire	db7xq
354	154784788	École doctorale Langues, lettres et arts	RwcSv
372	145585387	École doctorale Sciences économiques et de gestion d'Aix-Marseille	JK63A
377	168641550	École doctorale Environnement et société	ZMG5u
391	166155225	École doctorale Sciences mécaniques, acoustique et électronique et robotique de Paris	k0eue
394	168083256	École doctorale Physiologie, Physiopathologie et Thérapeutique	VMYmT
406	166251798	École doctorale Chimie moléculaire de Paris centre	a5dKy
411	171833171	École doctorale humanités nouvelles nouvelles : Fernand Braudel	l2rFh
417	092177093	École doctorale Sciences et Ingénierie	SSBvE
446	147705126	École doctorale Biologie - Santé de Lille	4iEUF
450	116570822	École doctorale Recherches en psychanalyse et psychopathologie	8jI3f
461	148449085	École doctorale Droit et science politique	QGArN
463	147502489	École doctorale Sciences du mouvement humain	UbtlY
465	165850264	École doctorale Économie Panthéon Sorbonne	MV68S
474	156376504	École doctorale Frontières de l'Innovation en Recherche et Education	E727j
476	151715920	École doctorale Neurosciences et cognition	B1H0x
488	157888266	École doctorale Sciences, ingénierie, santé	Fy2lK
508	139848509	École doctorale Normande de chimie	E52OO
537	151334390	École doctorale Culture et patrimoine	GxI4a
545	155542591	École doctorale Sociétés, politique et santé publique	IAKR4
